Year,Author,Title,US Publisher,Category,Source language,Harris evidence,Confidence
2000,Zeruya Shalev,Love Life,Grove Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed: Zeruya Shalev on Deborah Harris Agency roster (https://www.thedeborahharrisagency.com/author; page https://www.thedeborahharrisagency.com/authors/zeruya-shalev). US pub: Grove Press 2000 (hardcover; paperback 2001) (https://groveatlantic.com/author/zeruya-shalev/). Novel, trans. from Hebrew.",confirmed (agency roster)
2001,Yael Hedaya,Housebroken: Three Novellas,Metropolitan Books / Henry Holt,ISRAELI-LITERARY,Hebrew,"Publishers Weekly author page (ISBN 978-0-8050-5998-4, Holt/Metropolitan, 2001, trans. Dalya Bilu): https://www.publishersweekly.com/pw/authorpage/yael-hedaya.html . Harris rep: https://www.thedeborahharrisagency.com/author . FLAG: single-author collection of three novellas (literary fiction), not a single novel.",confirmed (agency roster)
2001,Shifra Horn,The Fairest Among Women,St. Martin's Press,ISRAELI-LITERARY,Hebrew,Not on DHA client roster; author site names ITHL for her books (DHA named for a different title only),"UNCONFIRMED — likely ITHL-brokered, not DHA"
2001,Dorit Rabinyan,The Strand of a Thousand Pearls,Random House,ISRAELI-LITERARY,Hebrew,"US publisher/year confirmed via Publishers Weekly review (ISBN 978-0-375-50811-0, reviewed 03/18/2002): https://www.publishersweekly.com/978-0-375-50811-0 . Harris representation confirmed by author's presence on the agency's own client roster: https://www.thedeborahharrisagency.com/author . Novel.",confirmed (agency roster)
2002,David Grossman,Be My Knife,"Farrar, Straus and Giroux",ISRAELI-LITERARY,Hebrew,"Harris rep confirmed: David Grossman listed on Deborah Harris Agency author roster (https://www.thedeborahharrisagency.com/author; dedicated page https://www.thedeborahharrisagency.com/authors/david-grossman). US pub: FSG 2002 (https://en.wikipedia.org/wiki/David_Grossman; PW ISBN 0-374-29977-3). Epistolary novel, trans. from Hebrew.",confirmed (agency roster)
2002,Zeruya Shalev,Husband and Wife,Grove Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Grove Press 2003 (https://groveatlantic.com/author/zeruya-shalev/). Novel, trans. from Hebrew.",confirmed (agency roster)
2004,David Grossman,Someone to Run With,"Farrar, Straus and Giroux",ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: FSG 2004 (https://www.amazon.com/dp/0374266573). Literary novel (crossover/YA-adjacent but adult-literary), trans. from Hebrew.",confirmed (agency roster)
2004,Batya Gur,Bethlehem Road Murder (Michael Ohayon #5),HarperCollins,COMMERCIAL/GENRE,Hebrew,Batya Gur on agency author page. PW 978-0-06-019573-1; HarperCollins 2004 (trans. Vivian Eden). Crime/police procedural. Earlier Ohayon novels pre-2000.,confirmed (agency roster)
2004,Yoel Hoffmann,The Shunra and the Schmetterling,New Directions,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2004,Sayed Kashua,Dancing Arabs,Grove Press (Black Cat),ISRAELI-LITERARY,Hebrew,Harris rep confirmed: Sayed Kashua on Deborah Harris Agency roster (https://www.thedeborahharrisagency.com/author). US pub: Grove Press/Black Cat 2004 (https://en.wikipedia.org/wiki/Sayed_Kashua). Novel by Arab-Israeli author writing in Hebrew.,confirmed (agency roster)
2005,David Grossman,Her Body Knows,"Farrar, Straus and Giroux",ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: FSG 2005 (https://en.wikipedia.org/wiki/David_Grossman). NOTE: two novellas (single-author literary fiction), not a story collection, trans. from Hebrew.",confirmed (agency roster)
2005,Yael Hedaya,Accidents,Metropolitan Books / Henry Holt,ISRAELI-LITERARY,Hebrew,"PW author page (ISBN 978-0-8050-7348-5, trans. Jessica Cohen); Metropolitan/Henry Holt NY 2005: https://www.publishersweekly.com/pw/authorpage/yael-hedaya.html . Harris rep: https://www.thedeborahharrisagency.com/author . Novel.",confirmed (agency roster)
